topic,center,start,target,num
428d0,---,089b6,87dad,1
428d0,---,089b6,9682a,2
428d0,---,089b6,a104c,3
428d0,---,089b6,a4b95,1
428d0,---,089b6,a6d73,2
428d0,---,089b6,ec61d,1
428d0,---,22ed4,089b6,2
428d0,---,22ed4,2382e,1
428d0,---,22ed4,87dad,1
428d0,---,22ed4,9682a,2
428d0,---,22ed4,a104c,1
428d0,---,22ed4,a4b95,1
428d0,---,22ed4,a6d73,1
428d0,---,2be4d,089b6,2
428d0,---,2be4d,2382e,2
428d0,---,2be4d,9682a,3
428d0,---,2be4d,a4b95,1
428d0,---,2be4d,a6d73,2
428d0,---,6e1bb,089b6,1
428d0,---,6e1bb,2382e,2
428d0,---,6e1bb,87dad,1
428d0,---,6e1bb,9682a,3
428d0,---,6e1bb,a4b95,1
428d0,---,6e1bb,a6d73,1
428d0,---,87dad,089b6,2
428d0,---,87dad,2382e,2
428d0,---,87dad,9682a,2
428d0,---,87dad,a104c,2
428d0,---,87dad,a4b95,1
428d0,---,87dad,a6d73,1
428d0,---,87dad,ec61d,1
428d0,---,a4b95,089b6,2
428d0,---,a4b95,2382e,3
428d0,---,a4b95,9682a,2
428d0,---,a4b95,a6d73,1
428d0,---,a4b95,ec61d,2
428d0,---,a6d73,089b6,1
428d0,---,a6d73,2382e,2
428d0,---,a6d73,87dad,1
428d0,---,a6d73,9682a,1
428d0,---,a6d73,a104c,1
428d0,---,a6d73,ec61d,2
428d0,---,bf6ec,089b6,1
428d0,---,bf6ec,2382e,1
428d0,---,bf6ec,87dad,1
428d0,---,bf6ec,9682a,2
428d0,---,bf6ec,a104c,1
428d0,---,bf6ec,a6d73,1
428d0,---,bf6ec,ec61d,1
428d0,---,ec61d,089b6,1
428d0,---,ec61d,2382e,2
428d0,---,ec61d,87dad,1
428d0,---,ec61d,9682a,1
428d0,---,ec61d,a104c,4
428d0,---,ec61d,a4b95,1
428d0,---,ec61d,a6d73,1
428d0,---,f4624,089b6,1
428d0,---,f4624,2382e,3
428d0,---,f4624,9682a,2
428d0,---,f4624,a104c,1
428d0,---,f4624,a4b95,2
40479,2382e,089b6,10ba6,3
40479,2382e,089b6,a4b95,1
40479,2382e,089b6,a6d73,2
40479,2382e,089b6,ec61d,1
40479,2382e,089b6,fc58f,1
40479,2382e,22ed4,089b6,1
40479,2382e,22ed4,10ba6,1
40479,2382e,22ed4,5dbcd,3
40479,2382e,22ed4,87dad,1
40479,2382e,22ed4,a6d73,2
40479,2382e,2be4d,089b6,2
40479,2382e,2be4d,10ba6,3
40479,2382e,2be4d,5dbcd,1
40479,2382e,2be4d,ec61d,2
40479,2382e,6e1bb,089b6,1
40479,2382e,6e1bb,10ba6,1
40479,2382e,6e1bb,5dbcd,4
40479,2382e,6e1bb,87dad,1
40479,2382e,6e1bb,a4b95,2
40479,2382e,6e1bb,ec61d,1
40479,2382e,87dad,089b6,1
40479,2382e,87dad,10ba6,2
40479,2382e,87dad,5dbcd,1
40479,2382e,87dad,a4b95,1
40479,2382e,87dad,a6d73,1
40479,2382e,87dad,ec61d,1
40479,2382e,87dad,fc58f,1
40479,2382e,a4b95,089b6,2
40479,2382e,a4b95,10ba6,3
40479,2382e,a4b95,5dbcd,2
40479,2382e,a4b95,a6d73,1
40479,2382e,a4b95,ec61d,3
