topic,center,start,target,num
428d0,---,089b6,a104c,1
428d0,---,22ed4,9682a,1
428d0,---,2be4d,9682a,1
428d0,---,6e1bb,9682a,1
428d0,---,87dad,2382e,1
428d0,---,a4b95,2382e,1
428d0,---,a6d73,2382e,1
428d0,---,bf6ec,9682a,1
428d0,---,ec61d,a104c,1
428d0,---,f4624,2382e,1
40479,9682a,089b6,10ba6,1
40479,9682a,22ed4,5dbcd,1
40479,9682a,2be4d,10ba6,1
40479,9682a,6e1bb,5dbcd,1
40479,9682a,87dad,10ba6,1
40479,9682a,a4b95,10ba6,1
40479,9682a,a6d73,5dbcd,1
40479,9682a,bf6ec,5dbcd,1
40479,9682a,ec61d,fc58f,1
40479,9682a,f4624,5dbcd,1
0c8e4,5dbcd,089b6,b2c46,1
0c8e4,5dbcd,22ed4,e6b23,1
0c8e4,5dbcd,2be4d,e6b23,1
0c8e4,5dbcd,6e1bb,e6b23,1
0c8e4,5dbcd,87dad,808b4,1
0c8e4,5dbcd,a4b95,e6b23,1
0c8e4,5dbcd,a6d73,808b4,1
0c8e4,5dbcd,bf6ec,808b4,1
0c8e4,5dbcd,ec61d,808b4,1
0c8e4,5dbcd,f4624,e6b23,1
